Environment,Covariate,Quantile,Time,Value
IP,ETP,0.25,0,0.8072033420820323
IP,ETP,0.25,14,-0.1575354492351594
IP,ETP,0.25,35,-0.007146517927270473
IP,ETP,0.25,65,-0.14004412393533552
IP,ETP,0.25,90,-0.4631259281384911
IP,ETP,0.5,0,0.29733319648365997
IP,ETP,0.5,14,0.11855513833864836
IP,ETP,0.5,35,-0.4277037906483318
IP,ETP,0.5,65,0.5519360854907565
IP,ETP,0.5,90,-0.41591615688507255
IP,ETP,0.75,0,-0.6488878021265145
IP,ETP,0.75,14,0.6139140200594657
IP,ETP,0.75,35,-0.9906175098813421
IP,ETP,0.75,65,0.8529806875606653
IP,ETP,0.75,90,-0.5638679935337441
IP,fRUE,0.25,0,0.768612311494346
IP,fRUE,0.25,14,-0.10944499302447369
IP,fRUE,0.25,35,-0.12373383816411583
IP,fRUE,0.25,65,-0.13359376828387112
IP,fRUE,0.25,90,-0.08889172581445105
IP,fRUE,0.5,0,0.35011896238402174
IP,fRUE,0.5,14,0.39157173761900443
IP,fRUE,0.5,35,0.3379698303102073
IP,fRUE,0.5,65,-0.21049633019110067
IP,fRUE,0.5,90,-0.2161491306285357
IP,fRUE,0.75,0,0.2729011183054106
IP,fRUE,0.75,14,0.35750519771479056
IP,fRUE,0.75,35,0.42114778139484077
IP,fRUE,0.75,65,-0.007288034762158151
IP,fRUE,0.75,90,-0.27223841353833655
IP,n,0.25,0,0.8700849929041437
IP,n,0.25,14,0.322653727116105
IP,n,0.25,35,0.41476577917690666
IP,n,0.25,65,0.5699901461651887
IP,n,0.25,90,-0.06220931783762077
IP,N,0.25,0,-1.0015333712520853
IP,N,0.25,14,-1.3372740605100721
IP,N,0.25,35,-0.9442402900214304
IP,N,0.25,65,-0.6772693992198605
IP,N,0.25,90,-0.42976302905453384
IP,n,0.5,0,0.40815202713715776
IP,n,0.5,14,0.8575904305582471
IP,n,0.5,35,-0.34020794509797886
IP,n,0.5,65,1.531900010112105
IP,n,0.5,90,0.01127504918885768
IP,N,0.5,0,-0.8876000146153188
IP,N,0.5,14,-1.3453652290884996
IP,N,0.5,35,-1.042387872133787
IP,N,0.5,65,-0.7303683365852941
IP,N,0.5,90,-0.4979338776114778
IP,n,0.75,0,-0.4261786516226116
IP,n,0.75,14,1.3743331044315397
IP,n,0.75,35,-1.2418043363942752
IP,n,0.75,65,1.0725934206139796
IP,n,0.75,90,-0.20758601553521466
IP,N,0.75,0,-0.7753728429193893
IP,N,0.75,14,-1.2814682812456883
IP,N,0.75,35,-1.1538204815550592
IP,N,0.75,65,-0.7868989168453109
IP,N,0.75,90,-0.5579553078124379
IP,PETP,0.25,0,-0.21795811922397212
IP,PETP,0.25,14,0.6832661106097729
IP,PETP,0.25,35,0.10742873441834737
IP,PETP,0.25,65,-0.3277835844923702
IP,PETP,0.25,90,0.32130853903978607
IP,PETP,0.5,0,0.41853290714090924
IP,PETP,0.5,14,0.8562614923358866
IP,PETP,0.5,35,-0.6445917229702528
IP,PETP,0.5,65,-0.19791476984701178
IP,PETP,0.5,90,0.11878974447577924
IP,PETP,0.75,0,1.0039619089617215
IP,PETP,0.75,14,0.9361972521457868
IP,PETP,0.75,35,-0.6592514532684342
IP,PETP,0.75,65,-0.8311680104999939
IP,PETP,0.75,90,0.037088059133004773
IP,PRECTOT,0.25,0,0.9667948375865792
IP,PRECTOT,0.25,14,1.0893409157583362
IP,PRECTOT,0.25,35,-0.5893116809737686
IP,PRECTOT,0.25,65,-0.5049266177394808
IP,PRECTOT,0.25,90,-0.447213595499958
IP,PRECTOT,0.5,0,1.450080689284383
IP,PRECTOT,0.5,14,1.2243617890975527
IP,PRECTOT,0.5,35,-0.48016582790680273
IP,PRECTOT,0.5,65,-0.42147018414949927
IP,PRECTOT,0.5,90,-0.553518724817331
IP,PRECTOT,0.75,0,0.9667219345479723
IP,PRECTOT,0.75,14,0.9605909301907816
IP,PRECTOT,0.75,35,-1.2559995516717952
IP,PRECTOT,0.75,65,0.42799599455148046
IP,PRECTOT,0.75,90,-0.24524696561953915
IP,Ra,0.25,0,-1.2536445807438217
IP,Ra,0.25,14,-1.0109174127774936
IP,Ra,0.25,35,-0.839876164611523
IP,Ra,0.25,65,-0.6911199386574118
IP,Ra,0.25,90,-0.45558698451265345
IP,Ra,0.5,0,-1.3150465725353906
IP,Ra,0.5,14,-1.0562624843213202
IP,Ra,0.5,35,-0.8786255985749793
IP,Ra,0.5,65,-0.7282478083642945
IP,Ra,0.5,90,-0.529401445664196
IP,Ra,0.75,0,-1.379510744668751
IP,Ra,0.75,14,-1.112105742774463
IP,Ra,0.75,35,-0.919635217456936
IP,Ra,0.75,65,-0.7629888782094744
IP,Ra,0.75,90,-0.5898436121285644
IP,RH2M,0.25,0,0.3039330984229184
IP,RH2M,0.25,14,0.4043427187066131
IP,RH2M,0.25,35,0.16560341335571652
IP,RH2M,0.25,65,-0.08740016930766742
IP,RH2M,0.25,90,-0.40739547928289854
IP,RH2M,0.5,0,0.11206864092947855
IP,RH2M,0.5,14,0.39566017690147154
IP,RH2M,0.5,35,0.1436789098263919
IP,RH2M,0.5,65,-0.20895296757813675
IP,RH2M,0.5,90,-0.48413252309093385
IP,RH2M,0.75,0,0.01218713481955044
IP,RH2M,0.75,14,0.25377795279152654
IP,RH2M,0.75,35,-0.057991519440341144
IP,RH2M,0.75,65,-0.3608063899836615
IP,RH2M,0.75,90,-0.5000680541320046
IP,SPV,0.25,0,0.6480643702099006
IP,SPV,0.25,14,-0.18248484059378597
IP,SPV,0.25,35,-0.1368414575095531
IP,SPV,0.25,65,-0.1529883323784979
IP,SPV,0.25,90,-0.19004411667534327
IP,SPV,0.5,0,0.448780866507544
IP,SPV,0.5,14,0.032824931192546425
IP,SPV,0.5,35,0.009543377037782012
IP,SPV,0.5,65,-0.2333802102791066
IP,SPV,0.5,90,-0.28079168384876557
IP,SPV,0.75,0,0.32839808520345143
IP,SPV,0.75,14,-0.08184363761450311
IP,SPV,0.75,35,0.01721032275768766
IP,SPV,0.75,65,-0.16169760009088513
IP,SPV,0.75,90,-0.397308135915396
IP,Srad,0.25,0,0.7836293133481647
IP,Srad,0.25,14,-0.1590670166262642
IP,Srad,0.25,35,-0.032214205424471794
IP,Srad,0.25,65,-0.11094739446237266
IP,Srad,0.25,90,-0.4109266812741746
IP,Srad,0.5,0,0.28200335804373644
IP,Srad,0.5,14,0.20705795868767649
IP,Srad,0.5,35,-0.49418349491260405
IP,Srad,0.5,65,0.5895304250028021
IP,Srad,0.5,90,-0.3452551536870025
IP,Srad,0.75,0,-0.6497755868940339
IP,Srad,0.75,14,0.5786440204744733
IP,Srad,0.75,35,-0.9893233415285096
IP,Srad,0.75,65,0.9055618781007181
IP,Srad,0.75,90,-0.4841003506804841
IP,T2M_MAX,0.25,0,0.8152009028971806
IP,T2M_MAX,0.25,14,-0.07799009939052341
IP,T2M_MAX,0.25,35,0.2406917512997216
