Environment,Covariate,Quantile,Period,Value
1_AN_LN,ETP,0.25,P.V1,-0.6022571909699863
1_AN_LN,ETP,0.25,V1.V4,0.9328487249544366
1_AN_LN,ETP,0.25,V4.VT,0.3209201184108597
1_AN_LN,ETP,0.25,VT.FLO,0.9888202218212767
1_AN_LN,ETP,0.25,FLO.GF,0.5320295356031393
1_AN_LN,ETP,0.5,P.V1,-0.7349399008928061
1_AN_LN,ETP,0.5,V1.V4,1.33735738942781
1_AN_LN,ETP,0.5,V4.VT,0.5711734180928262
1_AN_LN,ETP,0.5,VT.FLO,0.8635714460646632
1_AN_LN,ETP,0.5,FLO.GF,1.4955492793362526
1_AN_LN,ETP,0.75,P.V1,-0.6679847544507369
1_AN_LN,ETP,0.75,V1.V4,1.3375001121184706
1_AN_LN,ETP,0.75,V4.VT,0.8554711178988699
1_AN_LN,ETP,0.75,VT.FLO,-1.392937931394066
1_AN_LN,ETP,0.75,FLO.GF,1.2006300466274107
1_AN_LN,FRUE,0.25,P.V1,1.3982292826979388
1_AN_LN,FRUE,0.25,V1.V4,0.865896636345799
1_AN_LN,FRUE,0.25,V4.VT,-0.9964692964161718
1_AN_LN,FRUE,0.25,VT.FLO,0.8465014112123994
1_AN_LN,FRUE,0.25,FLO.GF,-1.0278540704833776
1_AN_LN,FRUE,0.5,P.V1,1.12740391137733
1_AN_LN,FRUE,0.5,V1.V4,-0.1454221214666598
1_AN_LN,FRUE,0.5,V4.VT,-1.0884907015178669
1_AN_LN,FRUE,0.5,VT.FLO,0.8624508000424971
1_AN_LN,FRUE,0.5,FLO.GF,-1.1376636200651018
1_AN_LN,FRUE,0.75,P.V1,0.8491708968547566
1_AN_LN,FRUE,0.75,V1.V4,-0.11709389916320115
1_AN_LN,FRUE,0.75,V4.VT,-0.7976944294877455
1_AN_LN,FRUE,0.75,VT.FLO,0.8172465052196217
1_AN_LN,FRUE,0.75,FLO.GF,-1.4594911194806275
1_AN_LN,n,0.25,P.V1,-0.5998607663201788
1_AN_LN,n,0.25,V1.V4,0.9721229010900045
1_AN_LN,n,0.25,V4.VT,0.6154548494855535
1_AN_LN,n,0.25,VT.FLO,1.0292505867088175
1_AN_LN,n,0.25,FLO.GF,1.3003074334569429
1_AN_LN,N,0.25,P.V1,-1.1660620696631525
1_AN_LN,N,0.25,V1.V4,-1.1618063895017567
1_AN_LN,N,0.25,V4.VT,-1.1614436829661492
1_AN_LN,N,0.25,VT.FLO,-1.1625824466575982
1_AN_LN,N,0.25,FLO.GF,-1.1576136089183633
1_AN_LN,n,0.5,P.V1,-0.726840156033091
1_AN_LN,n,0.5,V1.V4,1.3256358177905228
1_AN_LN,n,0.5,V4.VT,0.5917688260555792
1_AN_LN,n,0.5,VT.FLO,0.9070577798540006
1_AN_LN,n,0.5,FLO.GF,1.486744103990658
1_AN_LN,N,0.5,P.V1,-1.1672618294055148
1_AN_LN,N,0.5,V1.V4,-1.162465905671203
1_AN_LN,N,0.5,V4.VT,-1.1612291023984826
1_AN_LN,N,0.5,VT.FLO,-1.16250170946079
1_AN_LN,N,0.5,FLO.GF,-1.1599599269900869
1_AN_LN,n,0.75,P.V1,-0.6622580218817321
1_AN_LN,n,0.75,V1.V4,1.4106537738367741
1_AN_LN,n,0.75,V4.VT,1.1389039816743023
1_AN_LN,n,0.75,VT.FLO,-1.239366308414797
1_AN_LN,n,0.75,FLO.GF,1.0681234293747666
1_AN_LN,N,0.75,P.V1,-1.1686551966354457
1_AN_LN,N,0.75,V1.V4,-1.1634218821167255
1_AN_LN,N,0.75,V4.VT,-1.1611737543263467
1_AN_LN,N,0.75,VT.FLO,-1.162202994676775
1_AN_LN,N,0.75,FLO.GF,-1.1614332850411921
1_AN_LN,PETP,0.25,P.V1,-0.3330878692114682
1_AN_LN,PETP,0.25,V1.V4,-0.8461989829662143
1_AN_LN,PETP,0.25,V4.VT,-0.7018657648155118
1_AN_LN,PETP,0.25,VT.FLO,-0.8456849292774369
1_AN_LN,PETP,0.25,FLO.GF,-0.8520417539801216
1_AN_LN,PETP,0.5,V1.V4,1.309792577180406
1_AN_LN,PETP,0.5,V4.VT,-1.0902714115940513
1_AN_LN,PETP,0.5,VT.FLO,-1.1277688908596375
1_AN_LN,PETP,0.5,FLO.GF,0.31494904341706254
1_AN_LN,PETP,0.75,V1.V4,1.4535230328599618
1_AN_LN,PETP,0.75,V4.VT,-0.6317243281680992
1_AN_LN,PETP,0.75,VT.FLO,-0.9611511588200684
1_AN_LN,PETP,0.75,FLO.GF,1.1463588673734237
1_AN_LN,PRECTOT,0.25,P.V1,-0.7823771998154677
1_AN_LN,PRECTOT,0.25,V1.V4,0.7523165968588494
1_AN_LN,PRECTOT,0.25,V4.VT,-0.4019607843137255
1_AN_LN,PRECTOT,0.25,VT.FLO,-1.2699731723178564
1_AN_LN,PRECTOT,0.25,FLO.GF,-0.28867513459481287
1_AN_LN,PRECTOT,0.5,V1.V4,1.3463613906459335
1_AN_LN,PRECTOT,0.5,V4.VT,0.49968930829265323
1_AN_LN,PRECTOT,0.5,VT.FLO,-1.1043152607484654
1_AN_LN,PRECTOT,0.5,FLO.GF,1.2645652091675135
1_AN_LN,PRECTOT,0.75,V1.V4,1.0254980785361096
1_AN_LN,PRECTOT,0.75,V4.VT,-0.5940349825903856
1_AN_LN,PRECTOT,0.75,VT.FLO,-0.9375558365899603
1_AN_LN,PRECTOT,0.75,FLO.GF,1.1248421888242797
1_AN_LN,RH2M,0.25,V1.V4,1.2273821707092976
1_AN_LN,RH2M,0.25,VT.FLO,-1.212454567098454
1_AN_LN,RH2M,0.25,FLO.GF,0.159578690516115
1_AN_LN,RH2M,0.5,V1.V4,0.606148532164635
1_AN_LN,RH2M,0.5,V4.VT,0.5920336246650442
1_AN_LN,RH2M,0.5,VT.FLO,-1.2205071007310864
1_AN_LN,RH2M,0.5,FLO.GF,0.06900605411698048
1_AN_LN,RH2M,0.75,P.V1,-0.7459483562741108
1_AN_LN,RH2M,0.75,V1.V4,1.1912801570172589
1_AN_LN,RH2M,0.75,V4.VT,0.593163393858321
1_AN_LN,RH2M,0.75,VT.FLO,-1.4831852911713936
1_AN_LN,RH2M,0.75,FLO.GF,0.8818732776572107
1_AN_LN,RTA,0.25,P.V1,-1.2047574091744826
1_AN_LN,RTA,0.25,V1.V4,-1.1976229984045605
1_AN_LN,RTA,0.25,V4.VT,-1.187227392276567
1_AN_LN,RTA,0.25,VT.FLO,-1.1732262292996885
1_AN_LN,RTA,0.25,FLO.GF,-1.1566824540984797
1_AN_LN,RTA,0.5,P.V1,-1.205986342094377
1_AN_LN,RTA,0.5,V1.V4,-1.1995446468770177
1_AN_LN,RTA,0.5,V4.VT,-1.1899866542426984
1_AN_LN,RTA,0.5,VT.FLO,-1.1768449947166033
1_AN_LN,RTA,0.5,FLO.GF,-1.1611418705953989
1_AN_LN,RTA,0.75,P.V1,-1.2073537795915983
1_AN_LN,RTA,0.75,V1.V4,-1.201398813300114
1_AN_LN,RTA,0.75,V4.VT,-1.1926513483315226
1_AN_LN,RTA,0.75,VT.FLO,-1.180409573410727
1_AN_LN,RTA,0.75,FLO.GF,-1.1651929987923402
1_AN_LN,SPV,0.25,P.V1,1.4057106988413244
1_AN_LN,SPV,0.25,V1.V4,0.8659012451955854
1_AN_LN,SPV,0.25,V4.VT,-0.9938132706644428
1_AN_LN,SPV,0.25,VT.FLO,0.8455105986702074
1_AN_LN,SPV,0.25,FLO.GF,-1.0229888882773688
1_AN_LN,SPV,0.5,P.V1,1.1390069134660783
1_AN_LN,SPV,0.5,V1.V4,-0.1507891300457138
1_AN_LN,SPV,0.5,V4.VT,-1.0835787191589252
1_AN_LN,SPV,0.5,VT.FLO,0.862708553168546
1_AN_LN,SPV,0.5,FLO.GF,-1.1328241126465446
1_AN_LN,SPV,0.75,P.V1,0.8543802549352771
