env,gid,value
1_PI_LN,L001xL002,6.497438840179088
1_PI_LN,L001xL003,3.92981641383122
1_PI_LN,L001xL005,3.904055490325492
1_PI_LN,L001xL014C,3.8119182198312207
1_PI_LN,L001xL023,3.7684699438312204
1_PI_LN,L001xL034,5.38945516583122
1_PI_LN,L001xL038,6.49530081483122
1_PI_LN,L001xL039,6.367465630630557
1_PI_LN,L001xL046,6.18078521483122
1_PI_LN,L001xL056,6.00188537883122
1_PI_LN,L002xL003,3.7677283566305566
1_PI_LN,L002xL008,3.9372905895658636
1_PI_LN,L002xL010,4.629719056277935
1_PI_LN,L002xL014,5.023266251785833
1_PI_LN,L002xL014C,0.2936666094402709
1_PI_LN,L002xL015,4.701278394521482
1_PI_LN,L002xL016,3.387666711037186
1_PI_LN,L002xL017,2.3671250367858327
1_PI_LN,L002xL019,6.105301209440271
1_PI_LN,L002xL022,3.2581123793898557
1_PI_LN,L002xL023,2.5033709149037344
1_PI_LN,L002xL029,4.5322964565214825
1_PI_LN,L002xL031,4.846002969924489
1_PI_LN,L002xL034,0.9014923178732871
1_PI_LN,L002xL038,4.739692753903735
1_PI_LN,L002xL041,3.575237756325492
1_PI_LN,L002xL045,4.899642968115248
1_PI_LN,L002xL056,4.453062354611352
1_PI_LN,L003xL005,2.752541571099094
1_PI_LN,L003xL006,3.8228062840371866
1_PI_LN,L003xL007,3.7800942494709173
1_PI_LN,L003xL008,4.398746354897141
1_PI_LN,L003xL010,3.8994727502779347
1_PI_LN,L003xL011,4.042175573785652
1_PI_LN,L003xL013,3.712437528423185
1_PI_LN,L003xL014B,4.840275546251648
1_PI_LN,L003xL015,3.7060673678732874
1_PI_LN,L003xL023,2.9486656784709173
1_PI_LN,L003xL026,1.3754348003254921
1_PI_LN,L003xL028,3.4979963763254918
1_PI_LN,L003xL029,4.015428698317075
1_PI_LN,L003xL031,3.544895232788268
1_PI_LN,L003xL034,5.4921429018732875
1_PI_LN,L003xL039,4.087546483924489
1_PI_LN,L003xL041,4.10946260784776
1_PI_LN,L003xL042,4.761832197924488
1_PI_LN,L003xL043,3.7363325261771303
1_PI_LN,L003xL044,4.689702846831517
1_PI_LN,L003xL045,1.3335103114351017
1_PI_LN,L003xL047,1.1731470756305566
1_PI_LN,L003xL048,2.323087445179089
1_PI_LN,L003xL049,3.5245895358732873
1_PI_LN,L003xL056,5.833092223957511
1_PI_LN,L005xL006,3.411520652317075
1_PI_LN,L005xL007,3.4404933323898557
1_PI_LN,L005xL008,3.4652915731152474
1_PI_LN,L005xL014C,4.038929076251647
1_PI_LN,L005xL015,2.4740522440990946
1_PI_LN,L005xL017,5.923868764317075
1_PI_LN,L005xL024,3.4482886970990947
1_PI_LN,L005xL035,2.660620373251647
1_PI_LN,L005xL038,4.286367515099094
1_PI_LN,L005xL039,4.063616696115247
1_PI_LN,L005xL041,2.2072291751152475
1_PI_LN,L005xL044,3.504061025957511
1_PI_LN,L005xL045,3.5320461033170747
1_PI_LN,L005xL046,4.608949046565863
1_PI_LN,L005xL047,2.5757020821152476
1_PI_LN,L005xL048,2.9280916382516473
1_PI_LN,L005xL055,2.831417347957511
1_PI_LN,L005xL056,3.200012820251647
1_PI_LN,L006xL007,5.5089612444709175
1_PI_LN,L006xL007B,4.019078508392673
1_PI_LN,L006xL011,5.389314101100771
1_PI_LN,L006xL013,4.631649351423185
1_PI_LN,L006xL014C,2.401673983205168
1_PI_LN,L006xL015,4.0442972144535565
1_PI_LN,L006xL016,4.837782202642785
1_PI_LN,L006xL018,6.019435284685777
1_PI_LN,L006xL022,5.557376959115247
1_PI_LN,L006xL023,5.5989054154709175
1_PI_LN,L006xL025,4.45717273583122
1_PI_LN,L006xL026,4.676617066325492
1_PI_LN,L006xL029,4.536861600825981
1_PI_LN,L006xL031,3.919549215654148
1_PI_LN,L006xL033,4.457896396277935
1_PI_LN,L006xL034,6.148848180521482
1_PI_LN,L006xL037,4.718837788364951
1_PI_LN,L006xL038,3.7396043248315176
1_PI_LN,L006xL039,7.384447807825982
1_PI_LN,L006xL041,4.227821288957511
1_PI_LN,L006xL042,3.0803760700371865
1_PI_LN,L006xL049,4.9790693242175825
1_PI_LN,L006xL054,4.940617532317075
1_PI_LN,L006xL058,4.469302010785652
1_PI_LN,L007xL008,4.349634626009893
1_PI_LN,L007xL010,5.259435284685777
1_PI_LN,L007xL011,5.076907274897141
1_PI_LN,L007xL012,4.276998708364951
1_PI_LN,L007xL014B,4.9504322142175825
1_PI_LN,L007xL015,2.9590311485658636
1_PI_LN,L007xL017,5.775119026009893
1_PI_LN,L007xL019,5.179860470873288
1_PI_LN,L007xL027,5.3335878066113525
1_PI_LN,L007xL031,3.790624390179089
1_PI_LN,L007xL033,6.857394447217582
1_PI_LN,L007xL034,5.255318599037186
1_PI_LN,L007xL037,3.8912101864535567
1_PI_LN,L007xL038,3.8727380740098933
1_PI_LN,L007xL044,5.135692167897141
1_PI_LN,L007xL046,4.627568189037186
1_PI_LN,L007xL048,3.3588134614709175
1_PI_LN,L007xL049,4.7653583232175825
