Environment,PerformanceBinary,Performance4Class
ARH1_2016,Low,Mediocre
ARH1_2017,Low,Mediocre
ARH1_2018,Low,Poor
ARH2_2016,Low,Poor
ARH2_2017,Low,Mediocre
ARH2_2018,Low,Poor
COH1_2017,Low,Mediocre
DEH1_2014,High,Superior
DEH1_2015,High,Acceptable
DEH1_2016,High,Acceptable
DEH1_2017,High,Acceptable
DEH1_2018,Low,Mediocre
DEH1_2019,High,Acceptable
GAH1_2014,Low,Poor
GAH1_2015,Low,Mediocre
GAH1_2016,Low,Poor
GAH1_2017,Low,Mediocre
GAH1_2018,High,Acceptable
GAH1_2019,Low,Mediocre
GAH2_2016,Low,Poor
GAH2_2017,Low,Mediocre
GAH2_2018,High,Acceptable
GAH2_2019,High,Superior
IAH1_2015,High,Acceptable
IAH1_2016,Low,Mediocre
IAH1_2017,High,Superior
IAH1_2018,High,Acceptable
IAH1_2019,High,Superior
IAH1a_2014,High,Acceptable
IAH1b_2014,High,Acceptable
IAH1c_2014,High,Acceptable
IAH2_2014,High,Acceptable
IAH2_2016,Low,Mediocre
IAH2_2017,High,Acceptable
IAH2_2018,High,Superior
IAH2_2019,High,Superior
IAH3_2014,High,Acceptable
IAH3_2015,High,Acceptable
IAH3_2016,High,Acceptable
IAH3_2017,High,Superior
IAH3_2018,High,Superior
IAH3_2019,High,Superior
IAH4_2014,High,Acceptable
IAH4_2015,High,Acceptable
IAH4_2016,Low,Mediocre
IAH4_2017,High,Acceptable
IAH4_2018,High,Acceptable
IAH4_2019,High,Acceptable
ILH1-1_2016,High,Acceptable
ILH1-2_2016,High,Acceptable
ILH1_2014,High,Acceptable
ILH1_2015,Low,Mediocre
ILH1_2017,High,Acceptable
ILH1_2018,High,Acceptable
ILH1_2019,High,Superior
INH1_2014,High,Acceptable
INH1_2015,Low,Mediocre
INH1_2016,Low,Mediocre
INH1_2017,High,Superior
INH1_2018,High,Acceptable
INH1_2019,High,Superior
KSH1_2015,Low,Poor
KSH1_2016,Low,Poor
KSH1_2018,High,Acceptable
MIH1_2016,Low,Mediocre
MIH1_2017,High,Acceptable
MIH1_2018,High,Acceptable
MIH1_2019,High,Acceptable
MNH1_2014,Low,Mediocre
MNH1_2015,High,Acceptable
MNH1_2016,High,Acceptable
MNH1_2017,Low,Mediocre
MNH1_2018,Low,Mediocre
MNH1_2019,Low,Mediocre
MOH1_2014,Low,Mediocre
MOH1_2015,Low,Poor
MOH1_2016,Low,Mediocre
MOH1_2017,Low,Mediocre
MOH1_2018,Low,Mediocre
MOH1_2019,Low,Mediocre
MOH2_2014,Low,Mediocre
MOH2_2015,Low,Mediocre
NCH1-1_2019,High,Acceptable
NCH1-2_2019,Low,Mediocre
NCH1_2014,Low,Mediocre
NCH1_2015,High,Acceptable
NCH1_2016,Low,Mediocre
NCH1_2017,Low,Mediocre
NCH1_2018,High,Acceptable
NEH1_2014,Low,Mediocre
NEH1_2015,Low,Mediocre
NEH1_2016,Low,Mediocre
NEH1_2019,High,Acceptable
NEH2-1_2019,High,Acceptable
NEH2-2_2019,High,Acceptable
NEH2_2014,Low,Poor
NEH2_2015,Low,Mediocre
NEH2_2018,High,Superior
NEH3-1_2017,Low,Mediocre
NEH3-2_2017,Low,Poor
NEH3_2014,Low,Poor
NEH3_2015,Low,Mediocre
NEH4_2015,Low,Mediocre
NEH4_2016,Low,Mediocre
NEH4_2017,Low,Poor
NYH1_2014,Low,Mediocre
NYH1_2015,Low,Mediocre
NYH1_2016,Low,Mediocre
NYH1_2017,Low,Mediocre
NYH1_2018,Low,Mediocre
NYH1_2019,High,Acceptable
NYH2-1_2014,High,Acceptable
NYH2-2_2014,Low,Mediocre
NYH2_2015,Low,Mediocre
NYH2_2016,Low,Poor
NYH2_2017,High,Acceptable
NYH2_2018,High,Acceptable
NYH2_2019,High,Superior
NYH3_2015,Low,Mediocre
NYH3_2017,High,Acceptable
NYH3_2018,High,Acceptable
NYH3_2019,High,Superior
OHH1_2015,High,Acceptable
OHH1_2016,Low,Mediocre
OHH1_2017,High,Acceptable
OHH1_2018,High,Acceptable
OHH1_2019,High,Acceptable
ONH1_2014,High,Acceptable
ONH1_2015,High,Superior
ONH1_2016,High,Acceptable
ONH1_2017,High,Acceptable
SCH1_2018,Low,Mediocre
SCH1_2019,Low,Poor
SDH1_2015,Low,Poor
TXH1-Dry_2017,High,Acceptable
TXH1-Dry_2018,Low,Mediocre
TXH1-Early_2017,High,Acceptable
TXH1-Early_2018,Low,Mediocre
TXH1-Late_2017,Low,Poor
TXH1-Late_2018,Low,Mediocre
TXH1_2014,Low,Mediocre
TXH1_2015,Low,Mediocre
TXH1_2016,Low,Mediocre
TXH1_2019,Low,Mediocre
TXH2_2014,Low,Mediocre
TXH2_2015,High,Acceptable
TXH2_2016,High,Acceptable
TXH2_2017,Low,Mediocre
TXH2_2018,Low,Mediocre
TXH2_2019,Low,Mediocre
TXH3_2019,Low,Mediocre
TXH4_2019,High,Acceptable
WIH1_2014,High,Acceptable
WIH1_2015,High,Acceptable
WIH1_2016,High,Acceptable
WIH1_2017,High,Acceptable
WIH1_2018,High,Acceptable
WIH1_2019,High,Superior
WIH2_2015,Low,Mediocre
WIH2_2016,Low,Mediocre
WIH2_2017,High,Acceptable
WIH2_2018,Low,Mediocre
WIH2_2019,Low,Mediocre
