Environment,DaysToPollen,DaysToSilk,Height,EarHeight,GrainYield
ARH1_2016,68.87924528301886,70.55471698113207,187.19245283018867,109.7509433962264,102.54656756909434
ARH1_2017,65.89433962264151,67.27924528301887,198.60603773584904,103.96377358490567,98.40641509433962
ARH1_2018,60.37358490566038,65.72075471698113,185.12830188679246,97.21509433962264,97.21822641509434
ARH2_2016,62.93207547169811,64.46415094339622,200.83396226415095,113.78787878787878,22.755127570037736
ARH2_2017,63.490566037735846,65.17735849056604,175.43396226415095,77.31698113207547,144.10683018867925
ARH2_2018,64.92830188679245,68.11698113207547,173.09056603773584,82.9132075471698,82.91554716981132
COH1_2017,69.1811320754717,70.49811320754716,214.60377358490567,90.44150943396227,105.86075471698113
DEH1_2014,64.94339622641509,66.28679245283018,217.03018867924527,108.03396226415094,193.51785444433963
DEH1_2015,61.64772727272727,63.583333333333336,241.59245283018868,118.96981132075472,182.8674405135849
DEH1_2016,76.33584905660378,76.36981132075472,249.78867924528302,120.3811320754717,155.49555044056603
DEH1_2017,66.22264150943396,66.44150943396227,236.02641509433963,115.59245283018868,175.15890566037737
DEH1_2018,66.45283018867924,67.23018867924529,183.2188679245283,86.79245283018868,119.59381132075471
DEH1_2019,57.27169811320755,58.60754716981132,227.04150943396226,107.90943396226415,178.26020169026415
GAH1_2014,70.1245283018868,71.01509433962264,215.88679245283018,90.38167938931298,88.92642974475471
GAH1_2015,58.467924528301886,60.25660377358491,181.88679245283018,84.37735849056604,132.01663662716982
GAH1_2016,59.16603773584906,60.25283018867925,197.28301886792454,91.81132075471699,96.96912890479246
GAH1_2017,60.62264150943396,61.13962264150943,182.64150943396226,80.49056603773585,125.71124528301887
GAH1_2018,60.67169811320755,61.45283018867924,205.33962264150944,103.90566037735849,160.19007547169812
GAH1_2019,61.6,62.621212121212125,177.32075471698113,89.05660377358491,133.28918959158491
GAH2_2016,52.330935251798564,53.7463768115942,252.1014492753623,207.40287769784172,66.76511398863309
GAH2_2017,55.514792899408285,55.532544378698226,222.47337278106508,115.8855421686747,128.973550295858
GAH2_2018,56.29811320754717,56.094339622641506,220.41132075471697,101.79245283018868,174.56396226415094
GAH2_2019,63.89733840304182,64.15589353612167,228.93584905660379,107.58867924528302,198.5682659057736
IAH1_2015,NA,NA,265.39622641509436,136.93962264150943,187.1998447243019
IAH1_2016,NA,NA,NA,NA,139.37910610230188
IAH1_2017,NA,NA,204.72452830188678,93.20377358490566,192.59622641509435
IAH1_2018,NA,NA,202.2490566037736,94.55471698113207,176.60724528301887
IAH1_2019,NA,NA,193.30188679245282,91.13962264150943,198.73615389603773
IAH1a_2014,65.467924528301893,67.33962264150944,209.4867924528302,95.50381679389314,162.07396213166038
IAH1b_2014,69.30152671755725,70.24045801526718,215.23651452282158,107.45833333333333,164.74676282743397
IAH1c_2014,65.6566037735849,67.94339622641509,209.57735849056604,92.32830188679245,164.79189569667923
IAH2_2014,NA,NA,233.64528301886793,107.53962264150944,171.86794292618868
IAH2_2016,76.94140625,78.41796875,210.59677419354838,109.48387096774194,136.17678852697358
